Date,Open,High,Low,Close,Adj Close,Volume
2021-12-02,100.000000,102.220001,99.709999,101.099998,97.671272,2133720
2021-12-03,102.959999,103.720001,98.019997,98.550003,95.207756,1937280
2021-12-06,99.500000,103.239998,99.099998,102.839996,99.352257,2135411
2021-12-07,104.000000,106.419998,103.220001,105.879997,102.289169,2179779
2021-12-08,105.260002,108.080002,103.620003,107.260002,103.622368,2635743
2021-12-09,107.339996,107.940002,104.940002,105.500000,101.922058,1783616
2021-12-10,104.419998,107.080002,104.180000,105.580002,101.999336,1154919
2021-12-13,105.599998,105.739998,102.339996,103.080002,99.584122,1667243
2021-12-14,103.720001,104.839996,102.260002,102.500000,99.023796,1534251
2021-12-15,102.820000,102.919998,99.769997,99.989998,96.598923,1768576
2021-12-16,103.500000,104.260002,102.320000,102.400002,98.927185,1699196
2021-12-17,103.580002,104.959999,102.139999,104.139999,100.608177,2458965
2021-12-20,101.559998,103.379997,100.260002,102.059998,98.598717,2048042
2021-12-21,103.559998,106.800003,102.820000,106.800003,103.177963,1813712
2021-12-22,107.300003,111.080002,107.099998,111.080002,107.312813,1960686
2021-12-23,110.900002,112.419998,110.639999,111.839996,108.047035,1141431
2021-12-24,111.059998,111.739998,110.239998,111.680000,107.892464,175333
2021-12-27,110.839996,112.980003,110.400002,112.339996,108.530075,749947
2021-12-28,112.239998,113.820000,112.239998,113.419998,109.573448,688913
2021-12-29,112.900002,113.940002,111.620003,112.120003,108.317543,788574
2021-12-30,111.839996,112.800003,111.279999,112.680000,108.858543,714942
2021-12-31,112.860001,113.059998,112.099998,112.360001,108.549400,360150
2022-01-03,113.599998,116.260002,113.220001,116.139999,112.201210,1320377
2022-01-04,116.580002,119.860001,116.000000,118.879997,114.848282,1588549
2022-01-05,119.320000,121.099998,117.199997,120.400002,116.316727,1806200
2022-01-06,118.199997,120.099998,117.379997,118.639999,114.616417,1441589
2022-01-07,118.000000,118.620003,116.339996,117.699997,113.708298,1244642
2022-01-10,118.000000,119.220001,116.580002,117.919998,113.920837,1099153
2022-01-11,118.599998,119.099998,117.139999,118.419998,114.403877,1060555
2022-01-12,118.720001,119.720001,117.580002,118.680000,114.655067,1288629
2022-01-13,118.000000,118.459999,116.199997,117.300003,113.321869,1278350
2022-01-14,116.279999,118.059998,116.180000,117.339996,113.360504,1051871
2022-01-17,118.279999,118.480003,116.760002,116.760002,112.800179,958258
2022-01-18,116.199997,116.480003,114.120003,115.879997,111.950020,1131796
2022-01-19,115.559998,117.459999,114.279999,115.120003,111.215805,1479906
2022-01-20,115.080002,115.720001,113.959999,115.720001,111.795448,1161977
2022-01-21,114.000000,114.459999,112.180000,113.400002,109.554131,2241374
2022-01-24,112.519997,113.820000,106.720001,107.339996,103.699654,2524642
2022-01-25,108.820000,110.120003,106.199997,108.339996,104.665733,2101749
2022-01-26,111.000000,114.339996,110.919998,114.220001,110.346321,1868916
2022-01-27,111.120003,115.059998,110.779999,114.419998,110.539536,1523610
2022-01-28,113.500000,113.839996,109.860001,111.379997,107.602638,1530319
2022-01-31,112.760002,113.739998,110.940002,112.120003,108.317543,1636479
2022-02-01,113.580002,115.440002,113.239998,115.440002,111.524948,1601492
2022-02-02,115.379997,115.599998,112.900002,113.300003,109.457527,1412361
2022-02-03,112.860001,113.500000,111.080002,111.639999,107.853813,1258207
2022-02-04,111.940002,112.160004,108.660004,110.320000,106.578590,1209672
2022-02-07,111.879997,112.980003,110.040001,112.940002,109.109741,1173544
2022-02-08,113.000000,115.639999,112.160004,115.639999,111.718163,1514367
2022-02-09,115.739998,117.779999,115.739998,117.500000,113.515083,1416605
2022-02-10,117.279999,118.519997,116.160004,118.300003,114.287956,1075687
2022-02-11,116.599998,118.959999,115.959999,118.500000,114.481171,1324106
2022-02-14,115.000000,117.019997,112.500000,116.300003,112.355782,1886460
2022-02-15,115.500000,118.500000,115.139999,118.400002,114.384567,1658714
2022-02-16,118.099998,119.500000,116.699997,117.879997,113.882195,1488356
2022-02-17,119.800003,120.360001,115.680000,116.320000,112.375099,1614702
2022-02-18,117.660004,117.800003,114.180000,115.000000,111.099861,2060276
2022-02-21,116.040001,117.139999,111.699997,112.139999,108.336868,1724281
2022-02-22,109.480003,115.180000,108.800003,114.080002,110.211075,2156241
2022-02-23,114.559998,117.300003,113.040001,113.940002,110.075821,2002740
